Major Categories	2nd-tier	3rd-tier	Example
01 Personal Care	01 Sleeping	01 Sleeping	sleeping
01 Personal Care	01 Sleeping	01 Sleeping	waking up
01 Personal Care	01 Sleeping	01 Sleeping	falling asleep
01 Personal Care	01 Sleeping	01 Sleeping	dreaming
01 Personal Care	01 Sleeping	01 Sleeping	dozing off
01 Personal Care	01 Sleeping	01 Sleeping	cat napping
01 Personal Care	01 Sleeping	01 Sleeping	napping
01 Personal Care	01 Sleeping	01 Sleeping	getting some shut-eye
01 Personal Care	01 Sleeping	01 Sleeping	getting up
01 Personal Care	01 Sleeping	01 Sleeping	dozing
01 Personal Care	01 Sleeping	02 Sleeplessness	insomnia
01 Personal Care	01 Sleeping	02 Sleeplessness	lying awake
01 Personal Care	01 Sleeping	02 Sleeplessness	tossing and turning
01 Personal Care	01 Sleeping	02 Sleeplessness	counting sheep
01 Personal Care	01 Sleeping	99 Sleeping, n.e.c.*	#N/A
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	bathing/showering
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing face
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing/flossing teeth
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing hands
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	grooming
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting in contact lenses
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	blow-drying hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	shaving legs
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cleaning contact lenses
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on makeup
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	shaving
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	filing nails
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	getting dressed/undressed
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	combing hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	changing clothes
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	gargling mouthwash
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	laying clothes out
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on shoes
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on hand cream
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	removing curlers
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	perming own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on night cream
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	doing own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cutting own hair
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	running bath
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	washing feet
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	doing nails
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	cleaning ears
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on nail polish
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	brushing lint off clothing
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	using the bathroom
01 Personal Care	02 Grooming	01 Washing, dressing and grooming oneself	putting on pajamas
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	mom braided my hair
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	friend rubbed suntan lotion on me
01 Personal Care	02 Grooming	99 Grooming, n.e.c.*	getting a haircut from spouse/friend (unpaid)
01 Personal Care	03 Health-related Self Care	01 Health-related self care	doing childbirth exercises
01 Personal Care	03 Health-related Self Care	01 Health-related self care	meditating (not religious)
01 Personal Care	03 Health-related Self Care	01 Health-related self care	dressing a wound
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking vitamins
01 Personal Care	03 Health-related Self Care	01 Health-related self care	giving oneself a shot
01 Personal Care	03 Health-related Self Care	01 Health-related self care	resting because of injury
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking insulin
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking cough drops
01 Personal Care	03 Health-related Self Care	01 Health-related self care	putting ice on injury
01 Personal Care	03 Health-related Self Care	01 Health-related self care	bandaging ankle
01 Personal Care	03 Health-related Self Care	01 Health-related self care	gargling for sore throat
01 Personal Care	03 Health-related Self Care	01 Health-related self care	giving oneself an injection
01 Personal Care	03 Health-related Self Care	01 Health-related self care	resting because of illness
01 Personal Care	03 Health-related Self Care	01 Health-related self care	testing blood sugar level
01 Personal Care	03 Health-related Self Care	01 Health-related self care	taking medicine
01 Personal Care	03 Health-related Self Care	01 Health-related self care	applying ointment
01 Personal Care	03 Health-related Self Care	01 Health-related self care	doing stress management exercises
01 Personal Care	03 Health-related Self Care	01 Health-related self care	changing oxygen
01 Personal Care	03 Health-related Self Care	01 Health-related self care	exercising or therapy for medical reasons
01 Personal Care	03 Health-related Self Care	99 Self care, n.e.c.*	feeling sick
01 Personal Care	04 Personal Activities	01 Personal/Private activities	having sex
01 Personal Care	04 Personal Activities	01 Personal/Private activities	private activity, unspecified
01 Personal Care	04 Personal Activities	01 Personal/Private activities	making out
01 Personal Care	04 Personal Activities	01 Personal/Private activities	personal activity, unspecified
01 Personal Care	04 Personal Activities	01 Personal/Private activities	cuddling partner in bed
01 Personal Care	04 Personal Activities	01 Personal/Private activities	spouse gave me a massage
01 Personal Care	04 Personal Activities	01 Personal/Private activities	necking
01 Personal Care	04 Personal Activities	99 Personal activities, n.e.c.*	#N/A
01 Personal Care	05 Personal Care Emergencies	01 Personal emergencies	being involved in a personal accident
01 Personal Care	05 Personal Care Emergencies	01 Personal emergencies	stanching blood flow
01 Personal Care	05 Personal Care Emergencies	01 Personal emergencies	losing consciousness
01 Personal Care	05 Personal Care Emergencies	01 Personal emergencies	waiting for ambulance
01 Personal Care	05 Personal Care Emergencies	01 Personal emergencies	being involved in an accident requiring emergency care
01 Personal Care	05 Personal Care Emergencies	99 Personal care emergencies, n.e.c.*	#N/A
01 Personal Care	99 Personal Care, n.e.c.*	99 Personal care, n.e.c.*	#N/A
02 Household Activities	01 Housework	01 Interior cleaning	tidying up
02 Household Activities	01 Housework	01 Interior cleaning	picking up clothes
02 Household Activities	01 Housework	01 Interior cleaning	recycling/sorting newspapers for recycling
02 Household Activities	01 Housework	01 Interior cleaning	straightening up the house
02 Household Activities	01 Housework	01 Interior cleaning	cleaning windows/washing walls
02 Household Activities	01 Housework	01 Interior cleaning	picking up the house/cleaning the house
02 Household Activities	01 Housework	01 Interior cleaning	vacuuming/sweeping floors/sweeping
02 Household Activities	01 Housework	01 Interior cleaning	washing floor
02 Household Activities	01 Housework	01 Interior cleaning	making the bed/changing sheets
02 Household Activities	01 Housework	01 Interior cleaning	cleaning out drawers
02 Household Activities	01 Housework	01 Interior cleaning	cleaning bathrooms/cleaning bedroom
02 Household Activities	01 Housework	01 Interior cleaning	emptying ashtray
02 Household Activities	01 Housework	01 Interior cleaning	cleaning carpets/shampooing carpet
02 Household Activities	01 Housework	01 Interior cleaning	cleaning bathtub/cleaning toilet
02 Household Activities	01 Housework	01 Interior cleaning	polishing furniture/dusting
02 Household Activities	01 Housework	01 Interior cleaning	cleaning out closet
02 Household Activities	01 Housework	01 Interior cleaning	emptying trash cans/taking out the trash
02 Household Activities	01 Housework	01 Interior cleaning	scrubbing
02 Household Activities	01 Housework	01 Interior cleaning	cleaning cupboards
02 Household Activities	01 Housework	01 Interior cleaning	cleaning floors/mopping floors
02 Household Activities	01 Housework	01 Interior cleaning	picking up toys
02 Household Activities	01 Housework	02 Laundry	putting laundry in washer/dryer
02 Household Activities	01 Housework	02 Laundry	bringing in washing/laundry
02 Household Activities	01 Housework	02 Laundry	hanging clothes on clothesline
02 Household Activities	01 Housework	02 Laundry	putting towels in bathroom
02 Household Activities	01 Housework	02 Laundry	sorting laundry/folding clean laundry
02 Household Activities	01 Housework	02 Laundry	hand washing clothing
02 Household Activities	01 Housework	02 Laundry	treating stains/spot treating clothes
02 Household Activities	01 Housework	02 Laundry	taking clothes off the line
02 Household Activities	01 Housework	02 Laundry	ironing
02 Household Activities	01 Housework	02 Laundry	taking clothes out of washer
02 Household Activities	01 Housework	02 Laundry	putting clean laundry away
02 Household Activities	01 Housework	02 Laundry	washing curtains
02 Household Activities	01 Housework	02 Laundry	putting out clean towels
02 Household Activities	01 Housework	02 Laundry	folding clothes/hanging clothes
02 Household Activities	01 Housework	02 Laundry	removing lint from dryer
02 Household Activities	01 Housework	02 Laundry	adding fabric softener
02 Household Activities	01 Housework	02 Laundry	doing laundry/checking wash
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	sewing on buttons/hemming garmets
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	polishing shoes
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	sewing a new dress/clothing
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	repairing/caring for clothes/hats/shoes/curtains
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	sewing curtains/other hh items
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	cleaning shoes/sneakers
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	knitting/crocheting blankets
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	knitting/crocheting sweaters, clothing
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	altering clothing/sewing hem
02 Household Activities	01 Housework	03 Sewing, repairing, & maintaining textiles	crocheting/crocheting quilt
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	putting away the groceries/putting shopping away
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	boxing things up for storage
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	putting away decorations/Christmas
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	storing food/storing the groceries
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	decorations/holiday items
02 Household Activities	01 Housework	04 Storing interior hh items, inc. food	moving stuff to attic/basement
02 Household Activities	01 Housework	99 Housework, n.e.c.*	#N/A
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	baking/cooking/broiling/boiling
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	cooking dinner
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	defrosting
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	peeling potatoes
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	packing food/lunches/picnics
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	preparing salad
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	making baby food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	baking a cake/baking biscuits
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	mixing/heating up baby formula
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	chopping/slicing vegetables
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	mixing drinks
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	putting roast in oven
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	making coffee/tea
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	smoking fish
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	heating food up/cooking meals
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	dehydrating food/drying food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	preparing food for company/guests
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	thawing frozen food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	canning food/preserving food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	putting icing on cake
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	preparing food for other hh members
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	boiling water
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	getting a drink/pouring water in glass
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	butchering/carving/salting meat
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	brewing beer or wine
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	making a gingerbread house
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	breast-pumping
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	making jam/bottling fruit
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	01 Food and drink preparation	baking Christmas cookies
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	serving a meal/serving hors d'oeuvres
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	garnishing food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	setting the table
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	putting out condiments
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	polishing silver
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	passing out drinks
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	02 Food presentation	filling salt/pepper/sugar
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning up after a meal/clearing the table
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning oven/stove/barbecue grill
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	loading the dishwasher/emptying dishwasher
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning high chair
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	washing/drying dishes
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning up plates and food
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	putting leftovers away
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	wiping table
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning up the kitchen only
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	rinsing dishes/washing pots and pans
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning kitchen cupboard
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	putting dishes away
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning freezer/defrosting freezer
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	throwing away leftovers
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning refrigerator
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	mopping the kitchen floor
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	03 Kitchen and food clean-up	cleaning microwave oven
02 Household Activities	02 Food & Drink Prep., Presentation, & Clean-up	99 Food & drink prep, presentation, & clean-up, n.e.c.*	#N/A
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	decorating
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	fumigating house
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	moving/rearranging furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	measuring windows for curtains
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	hanging pictures
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	making plumbing improvements
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	hanging curtains/wallpaper
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	stripping paint
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	painting
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	stripping wallpaper
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	laying linoleum/tile/wood floors
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	installing carpet
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	refitting kitchen/bathroom
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	hanging blinds/shades
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	remodeling interior of house
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	taking down towel bars
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	fixing leaks
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	decorating the Christmas tree
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	plastering
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	carving jack-o-lanterns
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	putting up shelves
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	setting up a manger (inside)
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	replacing fuses
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	hanging Christmas stockings
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	changing light bulbs
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	putting up Christmas decorations (inside)
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	putting up Christmas lights (inside)
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	setting up menorah candles (inside)
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	01 Interior arrangement, decoration, & repairs	setting mousetraps
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	making furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	making cabinets
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	refinishing furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	stripping furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	reupholstering furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	sanding wood furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	refinishing wood furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	staining wood furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	repairs to furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	changing cabinet hardware
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	painting furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	02 Building and repairing furniture	assembling furniture
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	chopping wood
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	collecting wood
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	lighting fireplace
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	stacking firewood
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	bringing in wood/kindling
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	setting the fire
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	shoveling coal
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	installing wood burning stove
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	filling heater with fuel
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	installing fireplace
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	installing window AC unit
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	opening/closing windows
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	03 Heating and cooling	changing furnace filter
02 Household Activities	03 Interior Maintenance, Repair, & Decoration	99 Interior maintenance, repair, & decoration, n.e.c.*	#N/A
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	sweeping deck/patio/porch
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	cleaning shed
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	sweeping steps
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	sweeping garage
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	shoveling snow
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	cleaning chimney
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	removing ice from walkways
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	washing outside windows
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	putting away yard equipment
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	picking up trash that blew into yard
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	putting away bicycles
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	sweeping sidewalk
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	cleaning gutters
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	putting away outside toys
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	01 Exterior cleaning	cleaning garage
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	painting/staining porch/deck
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	painting house exterior
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	fixing the roof
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	fixing mailbox
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	fixing broken windows
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	staining house exterior
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	replacing screens
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	fixing weatherboards
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	building a deck
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	fixing bird feeder
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	building a garage/carport
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	building a fence
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	building a shed
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	painting or staining fence
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	putting new roof on house
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	putting new roof on garage
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	adding another room to house
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	setting up garden furniture
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	screening in a porch
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	decorating outside for holidays
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	installing a gate or fence
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	hanging flags
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	paving or blacktopping
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	hanging address numbers
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	making structural additions
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	working on boat lift
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	hanging outdoor lights
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	repairing boat dock
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	decorating outside for parties
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	hanging up wind chimes
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	putting up outdoor holiday decorations
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	repairing wind chimes
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	putting up Christmas lights (outside)
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	02 Exterior repair, improvements, & decoration	putting up Christmas decorations (outside)
02 Household Activities	04 Exterior Maintenance, Repair, & Decoration	99 Exterior maintenance, repair & decoration, n.e.c.*	#N/A
02 Household Activities	05 Lawn, Garden, and Houseplants	01 Lawn, garden, and houseplant care	applying pesticides
02 Household Activities	05 Lawn, Garden, and Houseplants	01 Lawn, garden, and houseplant care	picking fruit and vegetables
02 Household Activities	05 Lawn, Garden, and Houseplants	01 Lawn, garden, and houseplant care	spraying for bugs
02 Household Activities	05 Lawn, Garden, and Houseplants	01 Lawn, garden, and houseplant care	gathering nuts
